3原文:	再来一次
3译文:	One more time
4原文:	金币X100
4译文:	Gold X100
5原文:	金币X200
5译文:	Gold X200
6原文:	金币X400
6译文:	Gold will
7原文:	金币X500
7译文:	Gold X500
8原文:	金币X600
8译文:	Gold X600
9原文:	金币X1000
9译文:	Gold X1000
10原文:	金币X2000
10译文:	Gold X2000
11原文:	金币X5000
11译文:	Gold X5000
12原文:	手雷X2
12译文:	Grenade X2
13原文:	手雷X3
13译文:	Grenade X3
14原文:	手雷X5
14译文:	Grenade X5
15原文:	手雷X8
15译文:	Grenade by 8
16原文:	手雷X10
16译文:	Grenade X10
17原文:	医疗包X2
17译文:	Medical kits X2
18原文:	医疗包X5
18译文:	Medical kits X5
19原文:	医疗包X8
19译文:	Medical kits by 8
20原文:	火之刃
20译文:	The blade of the fire
21原文:	影之刃
21译文:	The blade of the shadow
22原文:	黄金沙鹰
22译文:	The yellow sands eagle
23原文:	双持MP5
23译文:	Dual wield't a MP5
24原文:	摇霸
24译文:	Shake bully
25原文:	追杀者
25译文:	After the
26原文:	要你命3000
26译文:	Kill you 3000
27原文:	能量炮
27译文:	Energy cannon
28原文:	激光炮
28译文:	The laser gun
29原文:	僵尸虐杀者
29译文:	The zombie torture-murderers
30原文:	左轮部件1
30译文:	Left part 1
31原文:	左轮部件2
31译文:	Left part 2
32原文:	左轮部件3
32译文:	Left part 3
33原文:	左轮部件4
33译文:	Left part 4
34原文:	黄金沙鹰部件1
34译文:	1 yellow sands eagle parts
35原文:	黄金沙鹰部件2
35译文:	2 yellow sands eagle parts
36原文:	黄金沙鹰部件3
36译文:	3 yellow sands eagle parts
37原文:	黄金沙鹰部件4
37译文:	4 yellow sands eagle parts
38原文:	双持MP5部件1
38译文:	Dual wield't a MP5 part 1
39原文:	双持MP5部件2
39译文:	Dual wield't a MP5 part 2
40原文:	双持MP5部件3
40译文:	Dual wield't a MP5 part 3
41原文:	双持MP5部件4
41译文:	Dual wield't a MP5 part 4
42原文:	毁灭者部件1
42译文:	The destroyer part 1
43原文:	毁灭者部件2
43译文:	The destroyer part 2
44原文:	毁灭者部件3
44译文:	The destroyer part 3
45原文:	毁灭者部件4
45译文:	The destroyer part 4
46原文:	M4A1部件1
46译文:	M4A1 part 1
47原文:	M4A1部件2
47译文:	M4A1 part 2
48原文:	M4A1部件3
48译文:	M4A1 part 3
49原文:	M4A1部件4
49译文:	M4A1 part 4
50原文:	AK47部件1
50译文:	AK47 part 1
51原文:	AK47部件2
51译文:	AK47 part 2
52原文:	AK47部件3
52译文:	AK47 part 3
53原文:	AK47部件4
53译文:	AK47 part 4
54原文:	M1散弹部件1
54译文:	M1 shotgun part 1
55原文:	M1散弹部件2
55译文:	M1 shotgun part 2
56原文:	M1散弹部件3
56译文:	3 M1 shotgun components
57原文:	M1散弹部件4
57译文:	M1 shotgun part 4
58原文:	火神部件1
58译文:	Vulcan part 1
59原文:	火神部件2
59译文:	Vulcan part 2
60原文:	火神部件3
60译文:	Vulcan part 3
61原文:	火神部件4
61译文:	Vulcan part 4
