3原文:	Tomas，你已经被困在了被感染的51实验室，赶紧逃离这里！
3译文:	Tomas, you have been trapped in the infected 51 laboratory, hurriedly escape from here!
4原文:	我会指引你离开这个危险的地方，按照我说的做！
4译文:	I will show you to leave the dangerous place, do as I say!
5原文:	滑动这里就可以实现左右移动！走到指定位置吧！
5译文:	Sliding around here can realize mobile! Go to the designated position!
6原文:	点击这里就会攻击僵尸，试着消灭前面的僵尸吧！
6译文:	Click here will attack zombies, try to eliminate the previous zombies!!!!
7原文:	点击这里就能跳跃，试着跳到前面的高台吧！
7译文:	Click here to jump, try to jump in front of the tower!
8原文:	连续点击可以实现二连跳，试着跳到更高的高台上吧！
8译文:	Continuous click can achieve another jump, try to jump to a higher platform!
9原文:	小心，当你附近出现僵尸时，击退它们！
9译文:	Be careful, when you are near a zombie, beat them!
10原文:	受伤了吧，点击这里可以补充生命！
10译文:	Injured, click here to add life!
11原文:	又一群僵尸来袭，试试手雷，点击这里就可投掷！
11译文:	A group of zombies coming again, try grenades, click here to throw!
12原文:	通过前面这里，距离实验室出口已经不远了。
12译文:	Laboratory export through here, in front of the distance is not far off.
13原文:	点击这里就可以进入到地图页面！
13译文:	Click here to get into to the map page!
14原文:	点击这里就可以进入到武器库页面！
14译文:	Click here to get into the armory page!
15原文:	这里就是武器库的页面，所有的武器道具都在这里展示。
15译文:	This is Arsenal's page, all of the weapons props are shown here.
16原文:	上下滑动这里就可以看到更多的武器！
16译文:	You can see more weapons slide up and down here!
17原文:	点击上方不同的按键就可以切换到其他的类别，试着选择枪械吧！
17译文:	Click on the above different buttons you can switch to other categories, try to choose gun!!!!
18原文:	试着购买一把新的武器。
18译文:	Try to buy a new weapon.
19原文:	不错，战斗力上升了很多。
19译文:	Good, fighting capacity increased a lot.
20原文:	好了，可以装备这把新的武器了。
20译文:	Ok, can be equipped with this new weapon.
21原文:	多准备点弹药，有备无患啊。
21译文:	Prepare more ammunition, readiness is all.
22原文:	点击这里就可以回到地图页面了。
22译文:	Click here to return to the map page.
23原文:	这里就是地图页面，可以通过这里进到游戏中。
23译文:	Here is the map page, can pass into the game here.
24原文:	点击这里就可以选择你想进入的关卡。
24译文:	Here you can choose you want to enter the gate.
25原文:	战斗前可以获得一些加成的道具，试着购买一个吧。
25译文:	Before the battle can get some bonus items, try to buy one.
26原文:	运气很不错哦，那么我们开始游戏吧。
26译文:	Luck is very good oh, so let's start the game.
27原文:	这里显示的就是关卡目标哦，要时刻注意。
27译文:	Shown here is the mission objectives oh, always pay attention to.
28原文:	点击这里就可以切换武器。
28译文:	Click here to switch weapons.
29原文:	生存关，你会持续的被毒气攻击掉血，注意自己的血量。
29译文:	Survival level, you will continue to poison gas attacks off the blood, pay attention to your health.
30原文:	消灭头上带有血瓶的怪物会补充生命。
30译文:	Kill the monster head with a bottle of blood will make up life.
31原文:	坚持一定的时间你就会胜利。
31译文:	Keep a certain amount of time you will win.
32原文:	突防关，躲过或者消灭挡住去路的僵尸。
32译文:	Penetration, avoid or eliminate the obstacle of zombies.
33原文:	规定时间内到达终点就会胜利。
33译文:	Victory will reach the destination within the prescribed time.
34原文:	寻宝关，找到指示所标记的宝箱。
34译文:	Treasure, the treasure chest that find instructions marked.
35原文:	找到全部标记的宝箱，就可以胜利通过关卡。
35译文:	Find a treasure chest of all tags, you can win through checkpoints.
36原文:	通缉关，跟着指示找到头上标示“通缉”的僵尸并将其消灭。
36译文:	Wanted to close, follow the instructions to find the head of "most wanted" zombie and destroy it.
37原文:	消灭全部通缉僵尸，就可以胜利通过关卡。
37译文:	Eliminating all wanted a zombie, you can win through checkpoints.
38原文:	在线奖励，在线到达一定时间就会获得对应的奖励。
38译文:	Online rewards, online at some time you will get the corresponding reward.
39原文:	活跃奖励，活跃值到达100点就可以免费抽取1次奖励。
39译文:	Active, active value reached 100 points can extract 1 time for free.
40原文:	奖励里面没有自己想要的，点击这里就可以刷新奖励。
40译文:	Reward does not have what you want, click here to refresh the reward.
41原文:	点击这里就可以抽奖了。
41译文:	Click here to draw.
42原文:	手气不错哦，点击这里可以看到哪些内容可以增加活力值。
42译文:	I'm feeling lucky oh, click here to see what can increase the energy values.
43原文:	好了，你已经清楚了怎么抽奖了，赶快去获得活力吧。
43译文:	Well, you already know how to draw, hurry to get energy.
44原文:	每日任务，完成单个任务获得金币，完成全部任务获得钻石。
44译文:	Daily tasks, a single task for gold, to complete all tasks for diamonds.
45原文:	成就奖励，完成成就会获得钻石奖励，完成越多奖励越多。
45译文:	Achievement award, complete achievement will get diamond awards, completed the more the more rewarding.
46原文:	欢迎再次来到武器库，下面给你介绍另外一种获得武器的方式。
46译文:	Welcome once again to Arsenal, here introduce to you the other one way to get weapons.
47原文:	请拖动找到散弹枪。
47译文:	Please find shotguns drag.
48原文:	找到这把新的武器，并选择它。
48译文:	Find this new weapons, and select it.
49原文:	这里显示的是该武器的部件获得情况。
49译文:	Shown here is the parts for the weapon.
50原文:	获得该武器的全部部件就可以获得这把武器，点击获得。
50译文:	Get all the parts of the weapon you can gain this weapon, click.
51原文:	恭喜你获得了新的武器，继续虐杀僵尸吧！
51译文:	Congratulations you won the new weapons, and continue to kill zombies!
52原文:	快跑Tomas，他们就要追过来了！
52译文:	Run Tomas, they will follow!
53原文:	谢谢你救了我。
53译文:	Thank you for saving me.
54原文:	快跑，别说那么多了。
54译文:	Run fast, don't say so much.
55原文:	快点穿过这街道，我们得快点逃离这里。
55译文:	Hurry up through the streets, we have to move out of here.
56原文:	放心吧，有我在呢。
56译文:	Don't worry, have me in?
57原文:	这里就是高墙了，穿越它我们就能抵达城市中心了。
57译文:	Here it is the high walls, through which we could have arrived in the city center.
58原文:	跟紧我lucy。
58译文:	(null)
59原文:	我们在这里休息一下吧。
59译文:	We are here to have a rest.
60原文:	嗯，我去找找补给。
60译文:	Well, I look for supplies.
61原文:	不好他们追来了。
61译文:	Bad they chase.
62原文:	.........
62译文:	.........
63原文:	终于到了快速通道，我们马上就能离开这城市了。
63译文:	Finally to fast-track, we'll be able to leave this city.
64原文:	别开心得太早。我有一股不详的预感。
64译文:	Don't happy too early. I have a premonition of unknown.
65原文:	吼~~吼~~吼~~吼~~嗷！
65译文:	Shout ~ ~ roar ~ ~ shout ~ ~ roar ~ ~ ao!
66原文:	听到什么声音了吗。我好害怕。
66译文:	Hear what sound? I'm afraid.
67原文:	没事有我在呢。
67译文:	Ok I have here.
68原文:	去死吧！！！！！！
68译文:	Go to hell!!!!!!!!!!!!!!!
69原文:	刚才真是一场恶战啊，你没受伤吧。
69译文:	It was a battle, you didn't hurt.
70原文:	小事一桩。
70译文:	A piece of cake.
71原文:	好像有什么动静。
71译文:	If have any.
72原文:	不好他们追来了，快进森林。
72译文:	Bad they chased come, quickly into the forest.
73原文:	快进丛林深处躲躲。
73译文:	Quickly hid hide deep into the jungle.
74原文:	嗯，跟紧我，别走散了。
74译文:	Well, with me tight, don't lost.
75原文:	这里应该安全了吧。
75译文:	Here should be safe.
76原文:	不能掉以轻心，我们去灌木丛看看。
76译文:	Cannot treat STH lightly, we go to brush.
77原文:	嗯，我会保护你。
77译文:	Well, I will protect you.
78原文:	哇，这里好漂亮。
78译文:	Wow, what a beautiful here.
79原文:	现在还有心情欣赏风景，快点走吧。
79译文:	And enjoy the scenery mood now, hurry up go.
80原文:	真没情趣。
80译文:	Really no interest.
81原文:	终于到了丛林深处了。应该安全了。
81译文:	Finally to the deep forest. Should be safe.
82原文:	那里好像有什么，我们过去看看。
82译文:	There seems to have what, we used to have a look.
83原文:	这是什么怪物？
83译文:	What is this monster?
84原文:	不管是什么在我面前都是浮云。
84译文:	No matter what is floating clouds in front of me.
85原文:	嚎~嚎!!!
85译文:	Cry ~ cry!!!!!!
86原文:	啊~~！！！
86译文:	Ah ~ ~!!!!!!
87原文:	你没事吧，要不要抱抱。
87译文:	Are you ok, do you want to hug.
88原文:	去死。快看，前面有个仓库，我们进去休息一下。
88译文:	Go to hell. Look, the front have a warehouse, we go to have a rest.
89原文:	好，我来开路。
89译文:	Well, let me open.
90原文:	这仓库外墙真高。
90译文:	It's a high wall outside warehouse.
91原文:	里面应该很安全，我们去看看。
91译文:	It should be very safe, let's go and see.
92原文:	没想到里面的僵尸更凶猛。
92译文:	Didn't think the inside of the zombie is more fierce.
93原文:	是啊，现在进退两难了。
93译文:	Yes, now in a dilemma.
94原文:	继续前进吧。
94译文:	Move on.
95原文:	看那边好像是出口了。
95译文:	Look over there seems to be exported.
96原文:	嗯，一口气冲过去。
96译文:	Well, a sigh of relief rushed past.
97原文:	终于出来了呢。
97译文:	Finally come out?
98原文:	是啊，前面有个废弃车站。我们过去瞧瞧。
98译文:	Yes, in front of a station. We used to look at.
99原文:	怎么突然烟雾缭绕。
