3 金币	Gold COINS
4 钻石	diamond
5 手雷	Hand grenades
6 医疗包	Medical kits
7 空中支援	Air support
8 僚机碎片	Wingman fragments
9 南瓜灯	pumpkin
10 僵尸肉块	The zombie meat
11 僵尸肉馅月饼	The zombie meat moon cakes
12 USP	独特销售主张
13 左轮	revolver
14 黄金沙鹰	The yellow sands eagle
15 双持MP5	Dual wield't a MP5
16 毁灭者	The destroyer
17 M4A1	M4A1
18 AK47	ak - 47
19 M1散弹	M1 shotgun
20 火神	vulcan
21 摇霸	Shake bully
22 追杀者	After the
23 要你命3000	Kill you 3000
24 能量炮	Energy cannon
25 激光炮	The laser gun
26 僵尸虐杀者	The zombie torture-murderers
27 超神虐杀者	Torture-murderers super god
28 钢之刃	The blade of steel
29 冰之刃	The blade of ice
30 火之刃	The blade of the fire
31 影之刃	The blade of the shadow
32 魂之刃	The blade of the soul
33 审判	The trial
34 审判	The trial
35 审判	The trial
36 审判	The trial
37 审判	The trial
38 引力	gravity
39 引力	gravity
40 引力	gravity
41 引力	gravity
42 引力	gravity
43 诺亚	Noah
44 诺亚	Noah
45 诺亚	Noah
46 诺亚	Noah
47 诺亚	Noah
48 涤罪	purgatory
49 涤罪	purgatory
50 涤罪	purgatory
51 涤罪	purgatory
52 涤罪	purgatory
53 迷你萨克	Mini Isaac
54 迷你萨克	Mini Isaac
55 迷你萨克	Mini Isaac
56 迷你萨克	Mini Isaac
57 迷你萨克	Mini Isaac
58 星陨	Star meteor
59 星陨	Star meteor
60 星陨	Star meteor
61 星陨	Star meteor
62 星陨	Star meteor
63 智能护卫	Smart guard
64 智能护卫	Smart guard
65 智能护卫	Smart guard
66 智能护卫	Smart guard
67 智能护卫	Smart guard
68 破军	To break the
69 破军	To break the
70 破军	To break the
71 破军	To break the
72 破军	To break the
73 强化石碎片	Strong fossil fragments
74 普通强化石	Normal fossil
75 优良强化石	Good strong fossil
76 精品强化石	High-quality goods strong fossil
77 超凡强化石	Strong extraordinary fossil
78 传说强化石	Legend has it that strong fossil
79 僵尸猎人精魂	The zombie hunter spirit
80 突击队长精魂	Commando captain spirit
81 钢铁巨人精魂	Iron giant spirit
82 USP部件1	USP part 1
83 USP部件2	USP part 2
84 USP部件3	USP part 3
85 USP部件4	USP unit 4
86 左轮部件1	Left part 1
87 左轮部件2	Left part 2
88 左轮部件3	Left part 3
89 左轮部件4	Left part 4
90 黄金沙鹰部件1	1 yellow sands eagle parts
91 黄金沙鹰部件2	2 yellow sands eagle parts
92 黄金沙鹰部件3	3 yellow sands eagle parts
93 黄金沙鹰部件4	4 yellow sands eagle parts
94 双持MP5部件1	Dual wield't a MP5 part 1
95 双持MP5部件2	Dual wield't a MP5 part 2
96 双持MP5部件3	Dual wield't a MP5 part 3
97 双持MP5部件4	Dual wield't a MP5 part 4
98 毁灭者部件1	The destroyer part 1
99 毁灭者部件2	The destroyer part 2
100 毁灭者部件3	The destroyer part 3
101 毁灭者部件4	The destroyer part 4
102 M4A1部件1	M4A1 part 1
103 M4A1部件2	M4A1 part 2
104 M4A1部件3	M4A1 part 3
105 M4A1部件4	M4A1 part 4
106 AK47部件1	AK47 part 1
107 AK47部件2	AK47 part 2
108 AK47部件3	AK47 part 3
109 AK47部件4	AK47 part 4
110 M1散弹部件1	M1 shotgun part 1
111 M1散弹部件2	M1 shotgun part 2
112 M1散弹部件3	3 M1 shotgun components
113 M1散弹部件4	M1 shotgun part 4
114 火神部件1	Vulcan part 1
115 火神部件2	Vulcan part 2
116 火神部件3	Vulcan part 3
117 火神部件4	Vulcan part 4
118 摇霸部件1	Shake the components on the 1
119 摇霸部件2	Shake the parts on the 2
120 摇霸部件3	Shake the components on the 3
121 摇霸部件4	Shake the components on the 4
122 追杀者部件1	After the part 1
123 追杀者部件2	After part 2
124 追杀者部件3	After the part 3
